experiment,train_dataset,test_dataset,evaluation,feature_set,model,n_labels,n_train_samples,n_test_samples,label_match,leakage,performance_csv,hamming_mean,hamming_std,label_ranking_mean,label_ranking_std,micro_roc_mean,micro_roc_std,micro_auprc_mean,micro_auprc_std,precision_mean,precision_std,recall_mean,recall_std,fscore_mean,fscore_std,accuracy_mean,accuracy_std
v2_to_v1_transfer,v2,v1,cross_version_transfer,rc_kmer_matrix_k4,ipcarf,40,4114,353,normalized,False,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/rc_kmer_matrix_k4_ipcarf_v2_to_v1_transfer_performance.csv,0.0458948412698412,0.0140645816395526,0.2117054240731252,0.0375738048472503,0.6660907948666253,0.0400484103695641,0.0688824299773531,0.0291084317321113,0.1721846676684169,0.063900784451631,0.4044134652368948,0.0738406185683556,0.2378096839582889,0.0679083131338961,0.1897619047619047,0.0862187170547783
v2_to_v1_transfer,v2,v1,cross_version_transfer,rc_kmer_matrix_k4,rf,40,4114,353,normalized,False,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/rc_kmer_matrix_k4_rf_v2_to_v1_transfer_performance.csv,0.0452162698412698,0.0158156414712983,0.2128043031134399,0.0596675396860724,0.6757937979137447,0.0596335993523762,0.0630639138269796,0.018926457941533,0.1628595999619238,0.0445750803396231,0.3915273970197569,0.1828658243759857,0.22043520544033,0.067081767564091,0.1964285714285714,0.1480584219026269
v2_to_v1_transfer,v2,v1,cross_version_transfer,rc_kmer_matrix_k4,rflda,40,4114,353,normalized,False,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/rc_kmer_matrix_k4_rflda_v2_to_v1_transfer_performance.csv,0.0514285714285714,0.0176831492478501,0.1996635310443267,0.0557547412501879,0.6610838883489059,0.0585128813410522,0.0605241923362721,0.0219360198009562,0.1571210515128976,0.0460600665331925,0.4292591000146178,0.111777028195505,0.2234820693587466,0.0536531047778831,0.1761111111111111,0.0831634322438957
v1_common_cv,v1,v1,target_common_cv,kmer_matrix_k4,ipcarf,40,353,353,normalized,False,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/kmer_matrix_k4_ipcarf_v1_common_cv_performance.csv,0.0491686507936507,0.0102933190168778,0.1982360364462851,0.0452077034538749,0.6850517292321657,0.068226552792046,0.0490651171908013,0.0218439522985378,0.160956481573974,0.0304640666754983,0.4661482886100881,0.1476294832616429,0.235163383934344,0.0481933591318889,0.2862698412698413,0.0607939098175094
v1_common_cv,v1,v1,target_common_cv,kmer_matrix_k4,rf,40,353,353,normalized,False,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/kmer_matrix_k4_rf_v1_common_cv_performance.csv,0.0458888888888888,0.0210536289272251,0.2104465406982269,0.0473114742810761,0.6621824548410538,0.1012617914365911,0.0465057482202397,0.0241733213074695,0.1672493602520657,0.0602323268763249,0.3855722190781613,0.1882463391988796,0.2186680507195883,0.0638979032387806,0.277063492063492,0.1113718313006311
v1_common_cv,v1,v1,target_common_cv,kmer_matrix_k4,rflda,40,353,353,normalized,False,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/kmer_matrix_k4_rflda_v1_common_cv_performance.csv,0.0502599206349206,0.0167969502761735,0.1991430662636941,0.0373911237054783,0.6857789321559413,0.0816704434070199,0.0474436767886219,0.0215065698426634,0.1545007556018948,0.0318972373222073,0.4371839626763226,0.1619354677129401,0.2254427055328526,0.052556305649171,0.2319047619047619,0.0853983005714328
v1_common_cv,v1,v1,target_common_cv,kmer_matrix_k4+rc_kmer_matrix_k4+psednc_matrix,ipcarf,40,353,353,normalized,False,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix_ipcarf_v1_common_cv_performance.csv,0.0536984126984127,0.0211743744930656,0.1909436445154474,0.0490614964294023,0.6866804321126792,0.0580576570163585,0.0401100502770186,0.016943171751608,0.1625131581269287,0.0460181434970742,0.4730753243486689,0.1931871867715902,0.2313576747624273,0.0513793726359762,0.2608730158730158,0.1243253651604233
v1_common_cv,v1,v1,target_common_cv,kmer_matrix_k4+rc_kmer_matrix_k4+psednc_matrix,rf,40,353,353,normalized,False,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix_rf_v1_common_cv_performance.csv,0.0533670634920634,0.0250635483735557,0.1891180462915522,0.0482708348470243,0.6762075617758061,0.1000450394796012,0.045594573607204,0.020902041020045,0.1576856113809414,0.0500582311487293,0.4505484875433941,0.2042619333093955,0.2188986558952582,0.0594770120095075,0.289047619047619,0.0977407938713213
v1_common_cv,v1,v1,target_common_cv,kmer_matrix_k4+rc_kmer_matrix_k4+psednc_matrix,rflda,40,353,353,normalized,False,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix_rflda_v1_common_cv_performance.csv,0.0502599206349206,0.0167969502761735,0.1991430662636941,0.0373911237054783,0.6857789321559413,0.0816704434070199,0.0474436767886219,0.0215065698426634,0.1545007556018948,0.0318972373222073,0.4371839626763226,0.1619354677129401,0.2254427055328526,0.052556305649171,0.2319047619047619,0.0853983005714328
v1_common_cv,v1,v1,target_common_cv,psednc_matrix,ipcarf,40,353,353,normalized,False,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/psednc_matrix_ipcarf_v1_common_cv_performance.csv,0.0350873015873015,0.0099546567421543,0.2710085460578881,0.0422320948645546,0.56543410817863,0.0626437174051885,0.0422587939697408,0.0283702423897533,0.1294561899538032,0.0613100493503738,0.201014849766972,0.1256215680807439,0.1503023746384295,0.0780090286905911,0.3906349206349206,0.0966761795824837
v1_common_cv,v1,v1,target_common_cv,psednc_matrix,rf,40,353,353,normalized,False,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/psednc_matrix_rf_v1_common_cv_performance.csv,0.0350873015873015,0.0099546567421543,0.2710085460578881,0.0422320948645546,0.565431818748927,0.0626470102459456,0.0422584808454493,0.0283704785113582,0.1294561899538032,0.0613100493503738,0.201014849766972,0.1256215680807439,0.1503023746384295,0.0780090286905911,0.3906349206349206,0.0966761795824837
v1_common_cv,v1,v1,target_common_cv,psednc_matrix,rflda,40,353,353,normalized,False,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/psednc_matrix_rflda_v1_common_cv_performance.csv,0.0351587301587301,0.0099101094958228,0.2710085460578881,0.0422320948645546,0.565431818748927,0.0626470102459456,0.0422584808454493,0.0283704785113582,0.1290593645569778,0.0614402064717271,0.201014849766972,0.1256215680807439,0.1500248538243684,0.0780841152738292,0.3906349206349206,0.0966761795824837
v1_common_cv,v1,v1,target_common_cv,rc_kmer_matrix_k4,ipcarf,40,353,353,normalized,False,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/rc_kmer_matrix_k4_ipcarf_v1_common_cv_performance.csv,0.0587797619047619,0.0155008585708537,0.1757688544415932,0.0492467681933635,0.6776920938037827,0.0680666632114569,0.0427252520805252,0.0218304235473675,0.1435941507598466,0.0424723539949349,0.4749534556495507,0.1042858742295356,0.2163105537276636,0.0500528178378675,0.1531746031746031,0.0868081292135481
v1_common_cv,v1,v1,target_common_cv,rc_kmer_matrix_k4,rf,40,353,353,normalized,False,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/rc_kmer_matrix_k4_rf_v1_common_cv_performance.csv,0.0482380952380952,0.0134928098533057,0.199143631228101,0.0377230472221301,0.6694444636097445,0.0782879967726319,0.0428988212838483,0.0202168150473632,0.1508860204762579,0.0293604099167185,0.4130157709359747,0.165688263704388,0.2180977709084096,0.0532642873436208,0.2151587301587301,0.0577115113622384
v1_common_cv,v1,v1,target_common_cv,rc_kmer_matrix_k4,rflda,40,353,353,normalized,False,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/rc_kmer_matrix_k4_rflda_v1_common_cv_performance.csv,0.0555198412698412,0.0162534247413468,0.1968626679635302,0.040614903064338,0.685471325385308,0.0667116653016242,0.059866097371981,0.0429987594327567,0.1463347594254412,0.0393058171099087,0.4463065206189146,0.1381907891334436,0.2114323054070862,0.0510611317627502,0.2015873015873016,0.1169696960796146
