,ID,Ref,MESH
64,NR_003716,"[24583225, 24499465, 20930520, 21925379, 20393566, 20393566, 19182780, 20393566, 21903344, 24721780, 24531795, 24667321, 22817756, 23660942, 22535282, 22996375, 22492512, 24829860, 22996375, 21256239, 20393566, 22045689, 24757675, 24616104, 24829860, 23473599, 23463798, 23463798, 24748337, 24667321, 24531795, 21862635, 24667321, 22817756, 24583926, 24758900, 24285342, 24662839, 24817925, 24817925, 24222893, 24757675, 24757675, 24775712, 24667321, 22258453, 22258453, 24183851, 21327457, 22289527, 21327457, 23292722, 22817756, 24663081, 24817925, 24667321, 24829860, 24757675, 24817925, 24840737, 24022190, 24817925, 24667321, 24722995, 24591352, 24469926, 24583926, 25901533, 25612617, 25149152, 25099764, 27184657, 27751178, 27748863, 27695348, 27690631, 27683269, 27660759, 27659532, 27613094, 27574106, 27550047, 27549736, 27542077, 27484896, 27467165, 27460077, 27446363, 27388461, 27378691, 27323817, 27317124, 27301338, 27298568, 27277755, 27246953, 27229487, 27186394, 27166268, 27165481, 27122348, 27113175, 27069543, 27063559, 27041570, 27028998, 26998078, 26979073, 26967389, 26965999, 26962687, 26943771, 26935047, 26868332, 26826873, 26823733, 26823726, 26800519, 26781446, 26729200, 26717040, 26707824, 26658322, 26622861, 26592246, 26577852, 26552211, 26549670, 26547792, 26523512, 26518770, 26497652, 26482614, 26469956, 26457124, 26411689, 26384301, 26364613, 26341496, 26339352, 26328013, 26323944, 26261618, 26249178, 26187665, 26183397, 26172293, 26152361, 26136075, 26117268, 26111795, 26109871, 26109871, 26109871, 26088446, 26036760, 26033707, 26024833, 25994132, 25979172, 25968902, 25968902, 25928008, 25912306, 25901533, 25895025, 25883211, 25855382, 25824616, 25823657, 25807808, 25796453, 25792974, 25739705, 25734557, 25728753, 25640751, 25613518, 25612617, 25586347, 25547435, 25491133, 25476857, 25456707, 25447409, 25432874, 25430712, 25428914, 25405331, 25366139, 25340288, 25328122, 25311085, 25297587, 25280565, 25149152, 25099764, 25085602, 25070049, 25063030, 25030736, 25010625, 24953832, 24949306, 24935377, 24926466, 24840737, 24775712, 24758900, 24757675, 24748337, 24722995, 24663081, 24662839, 24591352, 24583926, 24533973, 24469926, 24285342, 24258260, 24203894, 24155936, 24151120, 24130837, 24118380, 24103700, 24022190, 23936419, 23888369, 23862139, 23847441, 23743197, 23717443, 23668363, 23600210, 23375982, 23292722, 23281836, 23141928, 23124417, 22614017]",Ependymoma
64,NR_003716,"[24583225, 24499465, 20930520, 21925379, 20393566, 20393566, 19182780, 20393566, 21903344, 24721780, 24531795, 24667321, 22817756, 23660942, 22535282, 22996375, 22492512, 24829860, 22996375, 21256239, 20393566, 22045689, 24757675, 24616104, 24829860, 23473599, 23463798, 23463798, 24748337, 24667321, 24531795, 21862635, 24667321, 22817756, 24583926, 24758900, 24285342, 24662839, 24817925, 24817925, 24222893, 24757675, 24757675, 24775712, 24667321, 22258453, 22258453, 24183851, 21327457, 22289527, 21327457, 23292722, 22817756, 24663081, 24817925, 24667321, 24829860, 24757675, 24817925, 24840737, 24022190, 24817925, 24667321, 24722995, 24591352, 24469926, 24583926, 25901533, 25612617, 25149152, 25099764, 27184657, 27751178, 27748863, 27695348, 27690631, 27683269, 27660759, 27659532, 27613094, 27574106, 27550047, 27549736, 27542077, 27484896, 27467165, 27460077, 27446363, 27388461, 27378691, 27323817, 27317124, 27301338, 27298568, 27277755, 27246953, 27229487, 27186394, 27166268, 27165481, 27122348, 27113175, 27069543, 27063559, 27041570, 27028998, 26998078, 26979073, 26967389, 26965999, 26962687, 26943771, 26935047, 26868332, 26826873, 26823733, 26823726, 26800519, 26781446, 26729200, 26717040, 26707824, 26658322, 26622861, 26592246, 26577852, 26552211, 26549670, 26547792, 26523512, 26518770, 26497652, 26482614, 26469956, 26457124, 26411689, 26384301, 26364613, 26341496, 26339352, 26328013, 26323944, 26261618, 26249178, 26187665, 26183397, 26172293, 26152361, 26136075, 26117268, 26111795, 26109871, 26109871, 26109871, 26088446, 26036760, 26033707, 26024833, 25994132, 25979172, 25968902, 25968902, 25928008, 25912306, 25901533, 25895025, 25883211, 25855382, 25824616, 25823657, 25807808, 25796453, 25792974, 25739705, 25734557, 25728753, 25640751, 25613518, 25612617, 25586347, 25547435, 25491133, 25476857, 25456707, 25447409, 25432874, 25430712, 25428914, 25405331, 25366139, 25340288, 25328122, 25311085, 25297587, 25280565, 25149152, 25099764, 25085602, 25070049, 25063030, 25030736, 25010625, 24953832, 24949306, 24935377, 24926466, 24840737, 24775712, 24758900, 24757675, 24748337, 24722995, 24663081, 24662839, 24591352, 24583926, 24533973, 24469926, 24285342, 24258260, 24203894, 24155936, 24151120, 24130837, 24118380, 24103700, 24022190, 23936419, 23888369, 23862139, 23847441, 23743197, 23717443, 23668363, 23600210, 23375982, 23292722, 23281836, 23141928, 23124417, 22614017]",Glioblastoma
64,NR_003716,"[24583225, 24499465, 20930520, 21925379, 20393566, 20393566, 19182780, 20393566, 21903344, 24721780, 24531795, 24667321, 22817756, 23660942, 22535282, 22996375, 22492512, 24829860, 22996375, 21256239, 20393566, 22045689, 24757675, 24616104, 24829860, 23473599, 23463798, 23463798, 24748337, 24667321, 24531795, 21862635, 24667321, 22817756, 24583926, 24758900, 24285342, 24662839, 24817925, 24817925, 24222893, 24757675, 24757675, 24775712, 24667321, 22258453, 22258453, 24183851, 21327457, 22289527, 21327457, 23292722, 22817756, 24663081, 24817925, 24667321, 24829860, 24757675, 24817925, 24840737, 24022190, 24817925, 24667321, 24722995, 24591352, 24469926, 24583926, 25901533, 25612617, 25149152, 25099764, 27184657, 27751178, 27748863, 27695348, 27690631, 27683269, 27660759, 27659532, 27613094, 27574106, 27550047, 27549736, 27542077, 27484896, 27467165, 27460077, 27446363, 27388461, 27378691, 27323817, 27317124, 27301338, 27298568, 27277755, 27246953, 27229487, 27186394, 27166268, 27165481, 27122348, 27113175, 27069543, 27063559, 27041570, 27028998, 26998078, 26979073, 26967389, 26965999, 26962687, 26943771, 26935047, 26868332, 26826873, 26823733, 26823726, 26800519, 26781446, 26729200, 26717040, 26707824, 26658322, 26622861, 26592246, 26577852, 26552211, 26549670, 26547792, 26523512, 26518770, 26497652, 26482614, 26469956, 26457124, 26411689, 26384301, 26364613, 26341496, 26339352, 26328013, 26323944, 26261618, 26249178, 26187665, 26183397, 26172293, 26152361, 26136075, 26117268, 26111795, 26109871, 26109871, 26109871, 26088446, 26036760, 26033707, 26024833, 25994132, 25979172, 25968902, 25968902, 25928008, 25912306, 25901533, 25895025, 25883211, 25855382, 25824616, 25823657, 25807808, 25796453, 25792974, 25739705, 25734557, 25728753, 25640751, 25613518, 25612617, 25586347, 25547435, 25491133, 25476857, 25456707, 25447409, 25432874, 25430712, 25428914, 25405331, 25366139, 25340288, 25328122, 25311085, 25297587, 25280565, 25149152, 25099764, 25085602, 25070049, 25063030, 25030736, 25010625, 24953832, 24949306, 24935377, 24926466, 24840737, 24775712, 24758900, 24757675, 24748337, 24722995, 24663081, 24662839, 24591352, 24583926, 24533973, 24469926, 24285342, 24258260, 24203894, 24155936, 24151120, 24130837, 24118380, 24103700, 24022190, 23936419, 23888369, 23862139, 23847441, 23743197, 23717443, 23668363, 23600210, 23375982, 23292722, 23281836, 23141928, 23124417, 22614017]",Medulloblastoma
64,NR_003716,"[24583225, 24499465, 20930520, 21925379, 20393566, 20393566, 19182780, 20393566, 21903344, 24721780, 24531795, 24667321, 22817756, 23660942, 22535282, 22996375, 22492512, 24829860, 22996375, 21256239, 20393566, 22045689, 24757675, 24616104, 24829860, 23473599, 23463798, 23463798, 24748337, 24667321, 24531795, 21862635, 24667321, 22817756, 24583926, 24758900, 24285342, 24662839, 24817925, 24817925, 24222893, 24757675, 24757675, 24775712, 24667321, 22258453, 22258453, 24183851, 21327457, 22289527, 21327457, 23292722, 22817756, 24663081, 24817925, 24667321, 24829860, 24757675, 24817925, 24840737, 24022190, 24817925, 24667321, 24722995, 24591352, 24469926, 24583926, 25901533, 25612617, 25149152, 25099764, 27184657, 27751178, 27748863, 27695348, 27690631, 27683269, 27660759, 27659532, 27613094, 27574106, 27550047, 27549736, 27542077, 27484896, 27467165, 27460077, 27446363, 27388461, 27378691, 27323817, 27317124, 27301338, 27298568, 27277755, 27246953, 27229487, 27186394, 27166268, 27165481, 27122348, 27113175, 27069543, 27063559, 27041570, 27028998, 26998078, 26979073, 26967389, 26965999, 26962687, 26943771, 26935047, 26868332, 26826873, 26823733, 26823726, 26800519, 26781446, 26729200, 26717040, 26707824, 26658322, 26622861, 26592246, 26577852, 26552211, 26549670, 26547792, 26523512, 26518770, 26497652, 26482614, 26469956, 26457124, 26411689, 26384301, 26364613, 26341496, 26339352, 26328013, 26323944, 26261618, 26249178, 26187665, 26183397, 26172293, 26152361, 26136075, 26117268, 26111795, 26109871, 26109871, 26109871, 26088446, 26036760, 26033707, 26024833, 25994132, 25979172, 25968902, 25968902, 25928008, 25912306, 25901533, 25895025, 25883211, 25855382, 25824616, 25823657, 25807808, 25796453, 25792974, 25739705, 25734557, 25728753, 25640751, 25613518, 25612617, 25586347, 25547435, 25491133, 25476857, 25456707, 25447409, 25432874, 25430712, 25428914, 25405331, 25366139, 25340288, 25328122, 25311085, 25297587, 25280565, 25149152, 25099764, 25085602, 25070049, 25063030, 25030736, 25010625, 24953832, 24949306, 24935377, 24926466, 24840737, 24775712, 24758900, 24757675, 24748337, 24722995, 24663081, 24662839, 24591352, 24583926, 24533973, 24469926, 24285342, 24258260, 24203894, 24155936, 24151120, 24130837, 24118380, 24103700, 24022190, 23936419, 23888369, 23862139, 23847441, 23743197, 23717443, 23668363, 23600210, 23375982, 23292722, 23281836, 23141928, 23124417, 22614017]",Rhabdoid Tumor
64,NR_003716,"[24583225, 24499465, 20930520, 21925379, 20393566, 20393566, 19182780, 20393566, 21903344, 24721780, 24531795, 24667321, 22817756, 23660942, 22535282, 22996375, 22492512, 24829860, 22996375, 21256239, 20393566, 22045689, 24757675, 24616104, 24829860, 23473599, 23463798, 23463798, 24748337, 24667321, 24531795, 21862635, 24667321, 22817756, 24583926, 24758900, 24285342, 24662839, 24817925, 24817925, 24222893, 24757675, 24757675, 24775712, 24667321, 22258453, 22258453, 24183851, 21327457, 22289527, 21327457, 23292722, 22817756, 24663081, 24817925, 24667321, 24829860, 24757675, 24817925, 24840737, 24022190, 24817925, 24667321, 24722995, 24591352, 24469926, 24583926, 25901533, 25612617, 25149152, 25099764, 27184657, 27751178, 27748863, 27695348, 27690631, 27683269, 27660759, 27659532, 27613094, 27574106, 27550047, 27549736, 27542077, 27484896, 27467165, 27460077, 27446363, 27388461, 27378691, 27323817, 27317124, 27301338, 27298568, 27277755, 27246953, 27229487, 27186394, 27166268, 27165481, 27122348, 27113175, 27069543, 27063559, 27041570, 27028998, 26998078, 26979073, 26967389, 26965999, 26962687, 26943771, 26935047, 26868332, 26826873, 26823733, 26823726, 26800519, 26781446, 26729200, 26717040, 26707824, 26658322, 26622861, 26592246, 26577852, 26552211, 26549670, 26547792, 26523512, 26518770, 26497652, 26482614, 26469956, 26457124, 26411689, 26384301, 26364613, 26341496, 26339352, 26328013, 26323944, 26261618, 26249178, 26187665, 26183397, 26172293, 26152361, 26136075, 26117268, 26111795, 26109871, 26109871, 26109871, 26088446, 26036760, 26033707, 26024833, 25994132, 25979172, 25968902, 25968902, 25928008, 25912306, 25901533, 25895025, 25883211, 25855382, 25824616, 25823657, 25807808, 25796453, 25792974, 25739705, 25734557, 25728753, 25640751, 25613518, 25612617, 25586347, 25547435, 25491133, 25476857, 25456707, 25447409, 25432874, 25430712, 25428914, 25405331, 25366139, 25340288, 25328122, 25311085, 25297587, 25280565, 25149152, 25099764, 25085602, 25070049, 25063030, 25030736, 25010625, 24953832, 24949306, 24935377, 24926466, 24840737, 24775712, 24758900, 24757675, 24748337, 24722995, 24663081, 24662839, 24591352, 24583926, 24533973, 24469926, 24285342, 24258260, 24203894, 24155936, 24151120, 24130837, 24118380, 24103700, 24022190, 23936419, 23888369, 23862139, 23847441, 23743197, 23717443, 23668363, 23600210, 23375982, 23292722, 23281836, 23141928, 23124417, 22614017]",Teratoma
64,NR_003716,"[24583225, 24499465, 20930520, 21925379, 20393566, 20393566, 19182780, 20393566, 21903344, 24721780, 24531795, 24667321, 22817756, 23660942, 22535282, 22996375, 22492512, 24829860, 22996375, 21256239, 20393566, 22045689, 24757675, 24616104, 24829860, 23473599, 23463798, 23463798, 24748337, 24667321, 24531795, 21862635, 24667321, 22817756, 24583926, 24758900, 24285342, 24662839, 24817925, 24817925, 24222893, 24757675, 24757675, 24775712, 24667321, 22258453, 22258453, 24183851, 21327457, 22289527, 21327457, 23292722, 22817756, 24663081, 24817925, 24667321, 24829860, 24757675, 24817925, 24840737, 24022190, 24817925, 24667321, 24722995, 24591352, 24469926, 24583926, 25901533, 25612617, 25149152, 25099764, 27184657, 27751178, 27748863, 27695348, 27690631, 27683269, 27660759, 27659532, 27613094, 27574106, 27550047, 27549736, 27542077, 27484896, 27467165, 27460077, 27446363, 27388461, 27378691, 27323817, 27317124, 27301338, 27298568, 27277755, 27246953, 27229487, 27186394, 27166268, 27165481, 27122348, 27113175, 27069543, 27063559, 27041570, 27028998, 26998078, 26979073, 26967389, 26965999, 26962687, 26943771, 26935047, 26868332, 26826873, 26823733, 26823726, 26800519, 26781446, 26729200, 26717040, 26707824, 26658322, 26622861, 26592246, 26577852, 26552211, 26549670, 26547792, 26523512, 26518770, 26497652, 26482614, 26469956, 26457124, 26411689, 26384301, 26364613, 26341496, 26339352, 26328013, 26323944, 26261618, 26249178, 26187665, 26183397, 26172293, 26152361, 26136075, 26117268, 26111795, 26109871, 26109871, 26109871, 26088446, 26036760, 26033707, 26024833, 25994132, 25979172, 25968902, 25968902, 25928008, 25912306, 25901533, 25895025, 25883211, 25855382, 25824616, 25823657, 25807808, 25796453, 25792974, 25739705, 25734557, 25728753, 25640751, 25613518, 25612617, 25586347, 25547435, 25491133, 25476857, 25456707, 25447409, 25432874, 25430712, 25428914, 25405331, 25366139, 25340288, 25328122, 25311085, 25297587, 25280565, 25149152, 25099764, 25085602, 25070049, 25063030, 25030736, 25010625, 24953832, 24949306, 24935377, 24926466, 24840737, 24775712, 24758900, 24757675, 24748337, 24722995, 24663081, 24662839, 24591352, 24583926, 24533973, 24469926, 24285342, 24258260, 24203894, 24155936, 24151120, 24130837, 24118380, 24103700, 24022190, 23936419, 23888369, 23862139, 23847441, 23743197, 23717443, 23668363, 23600210, 23375982, 23292722, 23281836, 23141928, 23124417, 22614017]",Breast Neoplasms
64,NR_003716,"[24583225, 24499465, 20930520, 21925379, 20393566, 20393566, 19182780, 20393566, 21903344, 24721780, 24531795, 24667321, 22817756, 23660942, 22535282, 22996375, 22492512, 24829860, 22996375, 21256239, 20393566, 22045689, 24757675, 24616104, 24829860, 23473599, 23463798, 23463798, 24748337, 24667321, 24531795, 21862635, 24667321, 22817756, 24583926, 24758900, 24285342, 24662839, 24817925, 24817925, 24222893, 24757675, 24757675, 24775712, 24667321, 22258453, 22258453, 24183851, 21327457, 22289527, 21327457, 23292722, 22817756, 24663081, 24817925, 24667321, 24829860, 24757675, 24817925, 24840737, 24022190, 24817925, 24667321, 24722995, 24591352, 24469926, 24583926, 25901533, 25612617, 25149152, 25099764, 27184657, 27751178, 27748863, 27695348, 27690631, 27683269, 27660759, 27659532, 27613094, 27574106, 27550047, 27549736, 27542077, 27484896, 27467165, 27460077, 27446363, 27388461, 27378691, 27323817, 27317124, 27301338, 27298568, 27277755, 27246953, 27229487, 27186394, 27166268, 27165481, 27122348, 27113175, 27069543, 27063559, 27041570, 27028998, 26998078, 26979073, 26967389, 26965999, 26962687, 26943771, 26935047, 26868332, 26826873, 26823733, 26823726, 26800519, 26781446, 26729200, 26717040, 26707824, 26658322, 26622861, 26592246, 26577852, 26552211, 26549670, 26547792, 26523512, 26518770, 26497652, 26482614, 26469956, 26457124, 26411689, 26384301, 26364613, 26341496, 26339352, 26328013, 26323944, 26261618, 26249178, 26187665, 26183397, 26172293, 26152361, 26136075, 26117268, 26111795, 26109871, 26109871, 26109871, 26088446, 26036760, 26033707, 26024833, 25994132, 25979172, 25968902, 25968902, 25928008, 25912306, 25901533, 25895025, 25883211, 25855382, 25824616, 25823657, 25807808, 25796453, 25792974, 25739705, 25734557, 25728753, 25640751, 25613518, 25612617, 25586347, 25547435, 25491133, 25476857, 25456707, 25447409, 25432874, 25430712, 25428914, 25405331, 25366139, 25340288, 25328122, 25311085, 25297587, 25280565, 25149152, 25099764, 25085602, 25070049, 25063030, 25030736, 25010625, 24953832, 24949306, 24935377, 24926466, 24840737, 24775712, 24758900, 24757675, 24748337, 24722995, 24663081, 24662839, 24591352, 24583926, 24533973, 24469926, 24285342, 24258260, 24203894, 24155936, 24151120, 24130837, 24118380, 24103700, 24022190, 23936419, 23888369, 23862139, 23847441, 23743197, 23717443, 23668363, 23600210, 23375982, 23292722, 23281836, 23141928, 23124417, 22614017]",Adenocarcinoma
64,NR_003716,"[24583225, 24499465, 20930520, 21925379, 20393566, 20393566, 19182780, 20393566, 21903344, 24721780, 24531795, 24667321, 22817756, 23660942, 22535282, 22996375, 22492512, 24829860, 22996375, 21256239, 20393566, 22045689, 24757675, 24616104, 24829860, 23473599, 23463798, 23463798, 24748337, 24667321, 24531795, 21862635, 24667321, 22817756, 24583926, 24758900, 24285342, 24662839, 24817925, 24817925, 24222893, 24757675, 24757675, 24775712, 24667321, 22258453, 22258453, 24183851, 21327457, 22289527, 21327457, 23292722, 22817756, 24663081, 24817925, 24667321, 24829860, 24757675, 24817925, 24840737, 24022190, 24817925, 24667321, 24722995, 24591352, 24469926, 24583926, 25901533, 25612617, 25149152, 25099764, 27184657, 27751178, 27748863, 27695348, 27690631, 27683269, 27660759, 27659532, 27613094, 27574106, 27550047, 27549736, 27542077, 27484896, 27467165, 27460077, 27446363, 27388461, 27378691, 27323817, 27317124, 27301338, 27298568, 27277755, 27246953, 27229487, 27186394, 27166268, 27165481, 27122348, 27113175, 27069543, 27063559, 27041570, 27028998, 26998078, 26979073, 26967389, 26965999, 26962687, 26943771, 26935047, 26868332, 26826873, 26823733, 26823726, 26800519, 26781446, 26729200, 26717040, 26707824, 26658322, 26622861, 26592246, 26577852, 26552211, 26549670, 26547792, 26523512, 26518770, 26497652, 26482614, 26469956, 26457124, 26411689, 26384301, 26364613, 26341496, 26339352, 26328013, 26323944, 26261618, 26249178, 26187665, 26183397, 26172293, 26152361, 26136075, 26117268, 26111795, 26109871, 26109871, 26109871, 26088446, 26036760, 26033707, 26024833, 25994132, 25979172, 25968902, 25968902, 25928008, 25912306, 25901533, 25895025, 25883211, 25855382, 25824616, 25823657, 25807808, 25796453, 25792974, 25739705, 25734557, 25728753, 25640751, 25613518, 25612617, 25586347, 25547435, 25491133, 25476857, 25456707, 25447409, 25432874, 25430712, 25428914, 25405331, 25366139, 25340288, 25328122, 25311085, 25297587, 25280565, 25149152, 25099764, 25085602, 25070049, 25063030, 25030736, 25010625, 24953832, 24949306, 24935377, 24926466, 24840737, 24775712, 24758900, 24757675, 24748337, 24722995, 24663081, 24662839, 24591352, 24583926, 24533973, 24469926, 24285342, 24258260, 24203894, 24155936, 24151120, 24130837, 24118380, 24103700, 24022190, 23936419, 23888369, 23862139, 23847441, 23743197, 23717443, 23668363, 23600210, 23375982, 23292722, 23281836, 23141928, 23124417, 22614017]",Carcinogenesis
64,NR_003716,"[24583225, 24499465, 20930520, 21925379, 20393566, 20393566, 19182780, 20393566, 21903344, 24721780, 24531795, 24667321, 22817756, 23660942, 22535282, 22996375, 22492512, 24829860, 22996375, 21256239, 20393566, 22045689, 24757675, 24616104, 24829860, 23473599, 23463798, 23463798, 24748337, 24667321, 24531795, 21862635, 24667321, 22817756, 24583926, 24758900, 24285342, 24662839, 24817925, 24817925, 24222893, 24757675, 24757675, 24775712, 24667321, 22258453, 22258453, 24183851, 21327457, 22289527, 21327457, 23292722, 22817756, 24663081, 24817925, 24667321, 24829860, 24757675, 24817925, 24840737, 24022190, 24817925, 24667321, 24722995, 24591352, 24469926, 24583926, 25901533, 25612617, 25149152, 25099764, 27184657, 27751178, 27748863, 27695348, 27690631, 27683269, 27660759, 27659532, 27613094, 27574106, 27550047, 27549736, 27542077, 27484896, 27467165, 27460077, 27446363, 27388461, 27378691, 27323817, 27317124, 27301338, 27298568, 27277755, 27246953, 27229487, 27186394, 27166268, 27165481, 27122348, 27113175, 27069543, 27063559, 27041570, 27028998, 26998078, 26979073, 26967389, 26965999, 26962687, 26943771, 26935047, 26868332, 26826873, 26823733, 26823726, 26800519, 26781446, 26729200, 26717040, 26707824, 26658322, 26622861, 26592246, 26577852, 26552211, 26549670, 26547792, 26523512, 26518770, 26497652, 26482614, 26469956, 26457124, 26411689, 26384301, 26364613, 26341496, 26339352, 26328013, 26323944, 26261618, 26249178, 26187665, 26183397, 26172293, 26152361, 26136075, 26117268, 26111795, 26109871, 26109871, 26109871, 26088446, 26036760, 26033707, 26024833, 25994132, 25979172, 25968902, 25968902, 25928008, 25912306, 25901533, 25895025, 25883211, 25855382, 25824616, 25823657, 25807808, 25796453, 25792974, 25739705, 25734557, 25728753, 25640751, 25613518, 25612617, 25586347, 25547435, 25491133, 25476857, 25456707, 25447409, 25432874, 25430712, 25428914, 25405331, 25366139, 25340288, 25328122, 25311085, 25297587, 25280565, 25149152, 25099764, 25085602, 25070049, 25063030, 25030736, 25010625, 24953832, 24949306, 24935377, 24926466, 24840737, 24775712, 24758900, 24757675, 24748337, 24722995, 24663081, 24662839, 24591352, 24583926, 24533973, 24469926, 24285342, 24258260, 24203894, 24155936, 24151120, 24130837, 24118380, 24103700, 24022190, 23936419, 23888369, 23862139, 23847441, 23743197, 23717443, 23668363, 23600210, 23375982, 23292722, 23281836, 23141928, 23124417, 22614017]",Lymphatic Metastasis
64,NR_003716,"[24583225, 24499465, 20930520, 21925379, 20393566, 20393566, 19182780, 20393566, 21903344, 24721780, 24531795, 24667321, 22817756, 23660942, 22535282, 22996375, 22492512, 24829860, 22996375, 21256239, 20393566, 22045689, 24757675, 24616104, 24829860, 23473599, 23463798, 23463798, 24748337, 24667321, 24531795, 21862635, 24667321, 22817756, 24583926, 24758900, 24285342, 24662839, 24817925, 24817925, 24222893, 24757675, 24757675, 24775712, 24667321, 22258453, 22258453, 24183851, 21327457, 22289527, 21327457, 23292722, 22817756, 24663081, 24817925, 24667321, 24829860, 24757675, 24817925, 24840737, 24022190, 24817925, 24667321, 24722995, 24591352, 24469926, 24583926, 25901533, 25612617, 25149152, 25099764, 27184657, 27751178, 27748863, 27695348, 27690631, 27683269, 27660759, 27659532, 27613094, 27574106, 27550047, 27549736, 27542077, 27484896, 27467165, 27460077, 27446363, 27388461, 27378691, 27323817, 27317124, 27301338, 27298568, 27277755, 27246953, 27229487, 27186394, 27166268, 27165481, 27122348, 27113175, 27069543, 27063559, 27041570, 27028998, 26998078, 26979073, 26967389, 26965999, 26962687, 26943771, 26935047, 26868332, 26826873, 26823733, 26823726, 26800519, 26781446, 26729200, 26717040, 26707824, 26658322, 26622861, 26592246, 26577852, 26552211, 26549670, 26547792, 26523512, 26518770, 26497652, 26482614, 26469956, 26457124, 26411689, 26384301, 26364613, 26341496, 26339352, 26328013, 26323944, 26261618, 26249178, 26187665, 26183397, 26172293, 26152361, 26136075, 26117268, 26111795, 26109871, 26109871, 26109871, 26088446, 26036760, 26033707, 26024833, 25994132, 25979172, 25968902, 25968902, 25928008, 25912306, 25901533, 25895025, 25883211, 25855382, 25824616, 25823657, 25807808, 25796453, 25792974, 25739705, 25734557, 25728753, 25640751, 25613518, 25612617, 25586347, 25547435, 25491133, 25476857, 25456707, 25447409, 25432874, 25430712, 25428914, 25405331, 25366139, 25340288, 25328122, 25311085, 25297587, 25280565, 25149152, 25099764, 25085602, 25070049, 25063030, 25030736, 25010625, 24953832, 24949306, 24935377, 24926466, 24840737, 24775712, 24758900, 24757675, 24748337, 24722995, 24663081, 24662839, 24591352, 24583926, 24533973, 24469926, 24285342, 24258260, 24203894, 24155936, 24151120, 24130837, 24118380, 24103700, 24022190, 23936419, 23888369, 23862139, 23847441, 23743197, 23717443, 23668363, 23600210, 23375982, 23292722, 23281836, 23141928, 23124417, 22614017]",Neoplasm Invasiveness
64,NR_003716,"[24583225, 24499465, 20930520, 21925379, 20393566, 20393566, 19182780, 20393566, 21903344, 24721780, 24531795, 24667321, 22817756, 23660942, 22535282, 22996375, 22492512, 24829860, 22996375, 21256239, 20393566, 22045689, 24757675, 24616104, 24829860, 23473599, 23463798, 23463798, 24748337, 24667321, 24531795, 21862635, 24667321, 22817756, 24583926, 24758900, 24285342, 24662839, 24817925, 24817925, 24222893, 24757675, 24757675, 24775712, 24667321, 22258453, 22258453, 24183851, 21327457, 22289527, 21327457, 23292722, 22817756, 24663081, 24817925, 24667321, 24829860, 24757675, 24817925, 24840737, 24022190, 24817925, 24667321, 24722995, 24591352, 24469926, 24583926, 25901533, 25612617, 25149152, 25099764, 27184657, 27751178, 27748863, 27695348, 27690631, 27683269, 27660759, 27659532, 27613094, 27574106, 27550047, 27549736, 27542077, 27484896, 27467165, 27460077, 27446363, 27388461, 27378691, 27323817, 27317124, 27301338, 27298568, 27277755, 27246953, 27229487, 27186394, 27166268, 27165481, 27122348, 27113175, 27069543, 27063559, 27041570, 27028998, 26998078, 26979073, 26967389, 26965999, 26962687, 26943771, 26935047, 26868332, 26826873, 26823733, 26823726, 26800519, 26781446, 26729200, 26717040, 26707824, 26658322, 26622861, 26592246, 26577852, 26552211, 26549670, 26547792, 26523512, 26518770, 26497652, 26482614, 26469956, 26457124, 26411689, 26384301, 26364613, 26341496, 26339352, 26328013, 26323944, 26261618, 26249178, 26187665, 26183397, 26172293, 26152361, 26136075, 26117268, 26111795, 26109871, 26109871, 26109871, 26088446, 26036760, 26033707, 26024833, 25994132, 25979172, 25968902, 25968902, 25928008, 25912306, 25901533, 25895025, 25883211, 25855382, 25824616, 25823657, 25807808, 25796453, 25792974, 25739705, 25734557, 25728753, 25640751, 25613518, 25612617, 25586347, 25547435, 25491133, 25476857, 25456707, 25447409, 25432874, 25430712, 25428914, 25405331, 25366139, 25340288, 25328122, 25311085, 25297587, 25280565, 25149152, 25099764, 25085602, 25070049, 25063030, 25030736, 25010625, 24953832, 24949306, 24935377, 24926466, 24840737, 24775712, 24758900, 24757675, 24748337, 24722995, 24663081, 24662839, 24591352, 24583926, 24533973, 24469926, 24285342, 24258260, 24203894, 24155936, 24151120, 24130837, 24118380, 24103700, 24022190, 23936419, 23888369, 23862139, 23847441, 23743197, 23717443, 23668363, 23600210, 23375982, 23292722, 23281836, 23141928, 23124417, 22614017]",Stomach Neoplasms
