,ID,Ref,MESH
29,NR_001564,"[24373479, 17545591, 24757675, 24829860, 23660942, 19812237, 18854511, 12629412, 25157805, 27776968, 27620004, 27535859, 27501756, 27461945, 27248326, 27100897, 26637364, 26339353, 25756403, 25578780, 25157805, 24141629]",Breast Neoplasms
29,NR_001564,"[24373479, 17545591, 24757675, 24829860, 23660942, 19812237, 18854511, 12629412, 25157805, 27776968, 27620004, 27535859, 27501756, 27461945, 27248326, 27100897, 26637364, 26339353, 25756403, 25578780, 25157805, 24141629]",Lymphatic Metastasis
29,NR_001564,"[24373479, 17545591, 24757675, 24829860, 23660942, 19812237, 18854511, 12629412, 25157805, 27776968, 27620004, 27535859, 27501756, 27461945, 27248326, 27100897, 26637364, 26339353, 25756403, 25578780, 25157805, 24141629]","Carcinoma, Non-Small-Cell Lung"
29,NR_001564,"[24373479, 17545591, 24757675, 24829860, 23660942, 19812237, 18854511, 12629412, 25157805, 27776968, 27620004, 27535859, 27501756, 27461945, 27248326, 27100897, 26637364, 26339353, 25756403, 25578780, 25157805, 24141629]",Lung Neoplasms
29,NR_001564,"[24373479, 17545591, 24757675, 24829860, 23660942, 19812237, 18854511, 12629412, 25157805, 27776968, 27620004, 27535859, 27501756, 27461945, 27248326, 27100897, 26637364, 26339353, 25756403, 25578780, 25157805, 24141629]",Ovarian Neoplasms
29,NR_001564,"[24373479, 17545591, 24757675, 24829860, 23660942, 19812237, 18854511, 12629412, 25157805, 27776968, 27620004, 27535859, 27501756, 27461945, 27248326, 27100897, 26637364, 26339353, 25756403, 25578780, 25157805, 24141629]",Brain Neoplasms
29,NR_001564,"[24373479, 17545591, 24757675, 24829860, 23660942, 19812237, 18854511, 12629412, 25157805, 27776968, 27620004, 27535859, 27501756, 27461945, 27248326, 27100897, 26637364, 26339353, 25756403, 25578780, 25157805, 24141629]",Glioblastoma
29,NR_001564,"[24373479, 17545591, 24757675, 24829860, 23660942, 19812237, 18854511, 12629412, 25157805, 27776968, 27620004, 27535859, 27501756, 27461945, 27248326, 27100897, 26637364, 26339353, 25756403, 25578780, 25157805, 24141629]",Neoplasm Invasiveness
29,NR_001564,"[24373479, 17545591, 24757675, 24829860, 23660942, 19812237, 18854511, 12629412, 25157805, 27776968, 27620004, 27535859, 27501756, 27461945, 27248326, 27100897, 26637364, 26339353, 25756403, 25578780, 25157805, 24141629]","Disease Models, Animal"
29,NR_001564,"[24373479, 17545591, 24757675, 24829860, 23660942, 19812237, 18854511, 12629412, 25157805, 27776968, 27620004, 27535859, 27501756, 27461945, 27248326, 27100897, 26637364, 26339353, 25756403, 25578780, 25157805, 24141629]","Glomerulonephritis, Membranous"
29,NR_001564,"[24373479, 17545591, 24757675, 24829860, 23660942, 19812237, 18854511, 12629412, 25157805, 27776968, 27620004, 27535859, 27501756, 27461945, 27248326, 27100897, 26637364, 26339353, 25756403, 25578780, 25157805, 24141629]",Breast Neoplasms
30,NR_001566,"[14630939, 24146262, 26928440]","Cell Transformation, Neoplastic"
30,NR_001566,"[14630939, 24146262, 26928440]",Prostatic Neoplasms
30,NR_001566,"[14630939, 24146262, 26928440]","Carcinoma, Squamous Cell"
30,NR_001566,"[14630939, 24146262, 26928440]",Lung Neoplasms
31,NR_001568,"[17553964, 17553964, 20380817, 23562612, 9422992, 15240511, 9422992, 9422992, 9422992, 9422992, 9422992, 9422992, 27277684, 27143917, 26893717, 26596549, 25866480, 25561975]",Alzheimer Disease
