experiment,source_version,target_version,feature_key,feature_set,domains,model,label_space,label_match,min_positives,keep_rule,n_source_samples,n_target_samples,n_labels,performance_csv,hamming_meanstd,hamming_mean,hamming_std,label_ranking_meanstd,label_ranking_mean,label_ranking_std,micro_roc_meanstd,micro_roc_mean,micro_roc_std,micro_auprc_meanstd,micro_auprc_mean,micro_auprc_std,precision_meanstd,precision_mean,precision_std,recall_meanstd,recall_mean,recall_std,fscore_meanstd,fscore_mean,fscore_std,accuracy_meanstd,accuracy_mean,accuracy_std
v1_common_cv,v2,v1,rc_kmer_matrix_k4,rc_kmer_matrix_k4,rna,rf,both,normalized,1,gt,4114,353,40,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/rc_kmer_matrix_k4_rf_v1_common_cv_performance.csv,0.04823809523809524(0.013492809853305771),0.04823809523809524,0.013492809853305771,0.199143631228101(0.03772304722213019),0.199143631228101,0.03772304722213019,0.6694444636097445(0.0782879967726319),0.6694444636097445,0.0782879967726319,0.04289882128384834(0.020216815047363265),0.04289882128384834,0.020216815047363265,0.1508860204762579(0.029360409916718542),0.1508860204762579,0.029360409916718542,0.41301577093597475(0.16568826370438805),0.41301577093597475,0.16568826370438805,0.21809777090840962(0.05326428734362087),0.21809777090840962,0.05326428734362087,0.21515873015873016(0.05771151136223849),0.21515873015873016,0.05771151136223849
v1_common_cv,v2,v1,rc_kmer_matrix_k4,rc_kmer_matrix_k4,rna,rflda,both,normalized,1,gt,4114,353,40,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/rc_kmer_matrix_k4_rflda_v1_common_cv_performance.csv,0.05551984126984126(0.01625342474134683),0.05551984126984126,0.01625342474134683,0.1968626679635302(0.04061490306433804),0.1968626679635302,0.04061490306433804,0.685471325385308(0.06671166530162422),0.685471325385308,0.06671166530162422,0.05986609737198104(0.04299875943275673),0.05986609737198104,0.04299875943275673,0.14633475942544127(0.03930581710990874),0.14633475942544127,0.03930581710990874,0.4463065206189146(0.13819078913344368),0.4463065206189146,0.13819078913344368,0.21143230540708627(0.05106113176275027),0.21143230540708627,0.05106113176275027,0.2015873015873016(0.11696969607961466),0.2015873015873016,0.11696969607961466
v2_to_v1_transfer,v2,v1,kmer_matrix_k4,kmer_matrix_k4,rna,ipcarf,both,normalized,1,gt,4114,353,40,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/kmer_matrix_k4_ipcarf_v2_to_v1_transfer_performance.csv,0.044053571428571435(0.01616931061380242),0.044053571428571435,0.01616931061380242,0.20856937753459276(0.053725273454020527),0.20856937753459276,0.053725273454020527,0.6787768568911556(0.04724166438335169),0.6787768568911556,0.04724166438335169,0.07250433809521131(0.027563222551679423),0.07250433809521131,0.027563222551679423,0.19607632805001227(0.0695494470901424),0.19607632805001227,0.0695494470901424,0.42475377103560463(0.1359093235666769),0.42475377103560463,0.1359093235666769,0.25521168730687877(0.0706988674062007),0.25521168730687877,0.0706988674062007,0.25849206349206344(0.16106655494607508),0.25849206349206344,0.16106655494607508
v2_to_v1_transfer,v2,v1,kmer_matrix_k4,kmer_matrix_k4,rna,rf,both,normalized,1,gt,4114,353,40,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/kmer_matrix_k4_rf_v2_to_v1_transfer_performance.csv,0.047398809523809524(0.016847863411816048),0.047398809523809524,0.016847863411816048,0.2153074179988433(0.05508523898276222),0.2153074179988433,0.05508523898276222,0.6655995439654087(0.047690250885936175),0.6655995439654087,0.047690250885936175,0.07297119733206112(0.02587597550634865),0.07297119733206112,0.02587597550634865,0.16645013520047286(0.054018528502093245),0.16645013520047286,0.054018528502093245,0.4005183658069906(0.11580614591715166),0.4005183658069906,0.11580614591715166,0.22455801962592484(0.05671213971408402),0.22455801962592484,0.05671213971408402,0.18976190476190474(0.10731993010307686),0.18976190476190474,0.10731993010307686
v2_to_v1_transfer,v2,v1,kmer_matrix_k4,kmer_matrix_k4,rna,rflda,both,normalized,1,gt,4114,353,40,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/kmer_matrix_k4_rflda_v2_to_v1_transfer_performance.csv,0.04908333333333335(0.007970931299402436),0.04908333333333335,0.007970931299402436,0.2089427078090833(0.04474303675350277),0.2089427078090833,0.04474303675350277,0.6609672421573857(0.05366471429254388),0.6609672421573857,0.05366471429254388,0.06274633538246358(0.021519866187591465),0.06274633538246358,0.021519866187591465,0.1425392012280082(0.05023741087864437),0.1425392012280082,0.05023741087864437,0.3878092633016232(0.1360400240294159),0.3878092633016232,0.1360400240294159,0.2064716699179781(0.07121762198328817),0.2064716699179781,0.07121762198328817,0.16992063492063492(0.030728637801795626),0.16992063492063492,0.030728637801795626
v2_to_v1_transfer,v2,v1,kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix,kmer_matrix_k4+rc_kmer_matrix_k4+psednc_matrix,rna+rna+rna,ipcarf,both,normalized,1,gt,4114,353,40,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix_ipcarf_v2_to_v1_transfer_performance.csv,0.04088888888888889(0.01460148638015843),0.04088888888888889,0.01460148638015843,0.23308774538963978(0.037481142700058055),0.23308774538963978,0.037481142700058055,0.6621095658959942(0.055926254345309706),0.6621095658959942,0.055926254345309706,0.07042659169690346(0.030774117800043944),0.07042659169690346,0.030774117800043944,0.1941355906623103(0.12154754059220158),0.1941355906623103,0.12154754059220158,0.3624800923782248(0.11906298320231624),0.3624800923782248,0.11906298320231624,0.24115141533820114(0.10388984710622004),0.24115141533820114,0.10388984710622004,0.25571428571428567(0.11996304125572069),0.25571428571428567,0.11996304125572069
v2_to_v1_transfer,v2,v1,kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix,kmer_matrix_k4+rc_kmer_matrix_k4+psednc_matrix,rna+rna+rna,rf,both,normalized,1,gt,4114,353,40,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix_rf_v2_to_v1_transfer_performance.csv,0.04290079365079365(0.014729212604740836),0.04290079365079365,0.014729212604740836,0.2150504825633767(0.04616947651787984),0.2150504825633767,0.04616947651787984,0.6794628673367645(0.043195877218297894),0.6794628673367645,0.043195877218297894,0.06347207849526537(0.017844347431147888),0.06347207849526537,0.017844347431147888,0.18399024670542458(0.06770440772370065),0.18399024670542458,0.06770440772370065,0.39418258500601455(0.1282219597307157),0.39418258500601455,0.1282219597307157,0.2423498571298568(0.07666611932764587),0.2423498571298568,0.07666611932764587,0.24119047619047618(0.173336113269178),0.24119047619047618,0.173336113269178
v2_to_v1_transfer,v2,v1,kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix,kmer_matrix_k4+rc_kmer_matrix_k4+psednc_matrix,rna+rna+rna,rflda,both,normalized,1,gt,4114,353,40,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix_rflda_v2_to_v1_transfer_performance.csv,0.04908333333333335(0.007970931299402436),0.04908333333333335,0.007970931299402436,0.2089427078090833(0.04474303675350277),0.2089427078090833,0.04474303675350277,0.6609615185831281(0.05366182806790641),0.6609615185831281,0.05366182806790641,0.0627416953350355(0.021511117351296568),0.0627416953350355,0.021511117351296568,0.1425392012280082(0.05023741087864437),0.1425392012280082,0.05023741087864437,0.3878092633016232(0.1360400240294159),0.3878092633016232,0.1360400240294159,0.2064716699179781(0.07121762198328817),0.2064716699179781,0.07121762198328817,0.16992063492063492(0.030728637801795626),0.16992063492063492,0.030728637801795626
v2_to_v1_transfer,v2,v1,psednc_matrix,psednc_matrix,rna,ipcarf,both,normalized,1,gt,4114,353,40,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/psednc_matrix_ipcarf_v2_to_v1_transfer_performance.csv,0.030170634920634924(0.007330231942274298),0.030170634920634924,0.007330231942274298,0.27543431794772466(0.033179795996622394),0.27543431794772466,0.033179795996622394,0.5548781614593491(0.03663139854508495),0.5548781614593491,0.03663139854508495,0.03203491063291668(0.009120274945007582),0.03203491063291668,0.009120274945007582,0.12913465949678765(0.067687160296497),0.12913465949678765,0.067687160296497,0.13815733125580326(0.08590788090041326),0.13815733125580326,0.08590788090041326,0.1315671443429312(0.07377424883265989),0.1315671443429312,0.07377424883265989,0.4128571428571428(0.09756857644807215),0.4128571428571428,0.09756857644807215
v2_to_v1_transfer,v2,v1,psednc_matrix,psednc_matrix,rna,rf,both,normalized,1,gt,4114,353,40,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/psednc_matrix_rf_v2_to_v1_transfer_performance.csv,0.030248015873015878(0.007321236339800121),0.030248015873015878,0.007321236339800121,0.27462845714186385(0.034306135499596165),0.27462845714186385,0.034306135499596165,0.5565655987239838(0.03897801927349212),0.5565655987239838,0.03897801927349212,0.03280334497958847(0.009477386660936742),0.03280334497958847,0.009477386660936742,0.13017722858453923(0.06751856339006349),0.13017722858453923,0.06751856339006349,0.14270278580125778(0.09375221340485151),0.14270278580125778,0.09375221340485151,0.13317221538125074(0.07524499325660342),0.13317221538125074,0.07524499325660342,0.4127777777777778(0.10594596021208534),0.4127777777777778,0.10594596021208534
