experiment,source_version,target_version,feature_key,feature_set,domains,model,label_space,label_match,min_positives,keep_rule,n_source_samples,n_target_samples,n_labels,performance_csv,hamming_meanstd,hamming_mean,hamming_std,label_ranking_meanstd,label_ranking_mean,label_ranking_std,micro_roc_meanstd,micro_roc_mean,micro_roc_std,micro_auprc_meanstd,micro_auprc_mean,micro_auprc_std,precision_meanstd,precision_mean,precision_std,recall_meanstd,recall_mean,recall_std,fscore_meanstd,fscore_mean,fscore_std,accuracy_meanstd,accuracy_mean,accuracy_std
v1_common_cv,v2,v1,psednc_matrix,psednc_matrix,rna,rflda,both,normalized,1,gt,4114,353,40,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/psednc_matrix_rflda_v1_common_cv_performance.csv,0.03515873015873015(0.009910109495822878),0.0351587301587301,0.0099101094958228,0.2710085460578881(0.04223209486455462),0.2710085460578881,0.0422320948645546,0.565431818748927(0.06264701024594567),0.565431818748927,0.0626470102459456,0.042258480845449344(0.028370478511358217),0.0422584808454493,0.0283704785113582,0.1290593645569778(0.0614402064717271),0.1290593645569778,0.0614402064717271,0.201014849766972(0.12562156808074398),0.201014849766972,0.1256215680807439,0.15002485382436848(0.07808411527382927),0.1500248538243684,0.0780841152738292,0.39063492063492067(0.09667617958248376),0.3906349206349206,0.0966761795824837
v1_common_cv,v2,v1,rc_kmer_matrix_k4,rc_kmer_matrix_k4,rna,ipcarf,both,normalized,1,gt,4114,353,40,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/rc_kmer_matrix_k4_ipcarf_v1_common_cv_performance.csv,0.058779761904761904(0.015500858570853761),0.0587797619047619,0.0155008585708537,0.17576885444159326(0.04924676819336351),0.1757688544415932,0.0492467681933635,0.6776920938037827(0.06806666321145692),0.6776920938037827,0.0680666632114569,0.042725252080525265(0.021830423547367573),0.0427252520805252,0.0218304235473675,0.14359415075984666(0.04247235399493495),0.1435941507598466,0.0424723539949349,0.4749534556495507(0.10428587422953561),0.4749534556495507,0.1042858742295356,0.21631055372766364(0.050052817837867546),0.2163105537276636,0.0500528178378675,0.15317460317460319(0.0868081292135481),0.1531746031746031,0.0868081292135481
v1_common_cv,v2,v1,rc_kmer_matrix_k4,rc_kmer_matrix_k4,rna,rf,both,normalized,1,gt,4114,353,40,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/rc_kmer_matrix_k4_rf_v1_common_cv_performance.csv,0.04823809523809524(0.013492809853305771),0.0482380952380952,0.0134928098533057,0.199143631228101(0.03772304722213019),0.199143631228101,0.0377230472221301,0.6694444636097445(0.0782879967726319),0.6694444636097445,0.0782879967726319,0.04289882128384834(0.020216815047363265),0.0428988212838483,0.0202168150473632,0.1508860204762579(0.029360409916718542),0.1508860204762579,0.0293604099167185,0.41301577093597475(0.16568826370438805),0.4130157709359747,0.165688263704388,0.21809777090840962(0.05326428734362087),0.2180977709084096,0.0532642873436208,0.21515873015873016(0.05771151136223849),0.2151587301587301,0.0577115113622384
v1_common_cv,v2,v1,rc_kmer_matrix_k4,rc_kmer_matrix_k4,rna,rflda,both,normalized,1,gt,4114,353,40,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/rc_kmer_matrix_k4_rflda_v1_common_cv_performance.csv,0.05551984126984126(0.01625342474134683),0.0555198412698412,0.0162534247413468,0.1968626679635302(0.04061490306433804),0.1968626679635302,0.040614903064338,0.685471325385308(0.06671166530162422),0.685471325385308,0.0667116653016242,0.05986609737198104(0.04299875943275673),0.059866097371981,0.0429987594327567,0.14633475942544127(0.03930581710990874),0.1463347594254412,0.0393058171099087,0.4463065206189146(0.13819078913344368),0.4463065206189146,0.1381907891334436,0.21143230540708627(0.05106113176275027),0.2114323054070862,0.0510611317627502,0.2015873015873016(0.11696969607961466),0.2015873015873016,0.1169696960796146
v2_to_v1_transfer,v2,v1,kmer_matrix_k4,kmer_matrix_k4,rna,ipcarf,both,normalized,1,gt,4114,353,40,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/kmer_matrix_k4_ipcarf_v2_to_v1_transfer_performance.csv,0.044053571428571435(0.01616931061380242),0.0440535714285714,0.0161693106138024,0.20856937753459276(0.053725273454020527),0.2085693775345927,0.0537252734540205,0.6787768568911556(0.04724166438335169),0.6787768568911556,0.0472416643833516,0.07250433809521131(0.027563222551679423),0.0725043380952113,0.0275632225516794,0.19607632805001227(0.0695494470901424),0.1960763280500122,0.0695494470901424,0.42475377103560463(0.1359093235666769),0.4247537710356046,0.1359093235666769,0.25521168730687877(0.0706988674062007),0.2552116873068787,0.0706988674062007,0.25849206349206344(0.16106655494607508),0.2584920634920634,0.161066554946075
v2_to_v1_transfer,v2,v1,kmer_matrix_k4,kmer_matrix_k4,rna,rf,both,normalized,1,gt,4114,353,40,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/kmer_matrix_k4_rf_v2_to_v1_transfer_performance.csv,0.047398809523809524(0.016847863411816048),0.0473988095238095,0.016847863411816,0.2153074179988433(0.05508523898276222),0.2153074179988433,0.0550852389827622,0.6655995439654087(0.047690250885936175),0.6655995439654087,0.0476902508859361,0.07297119733206112(0.02587597550634865),0.0729711973320611,0.0258759755063486,0.16645013520047286(0.054018528502093245),0.1664501352004728,0.0540185285020932,0.4005183658069906(0.11580614591715166),0.4005183658069906,0.1158061459171516,0.22455801962592484(0.05671213971408402),0.2245580196259248,0.056712139714084,0.18976190476190474(0.10731993010307686),0.1897619047619047,0.1073199301030768
v2_to_v1_transfer,v2,v1,kmer_matrix_k4,kmer_matrix_k4,rna,rflda,both,normalized,1,gt,4114,353,40,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/kmer_matrix_k4_rflda_v2_to_v1_transfer_performance.csv,0.04908333333333335(0.007970931299402436),0.0490833333333333,0.0079709312994024,0.2089427078090833(0.04474303675350277),0.2089427078090833,0.0447430367535027,0.6609672421573857(0.05366471429254388),0.6609672421573857,0.0536647142925438,0.06274633538246358(0.021519866187591465),0.0627463353824635,0.0215198661875914,0.1425392012280082(0.05023741087864437),0.1425392012280082,0.0502374108786443,0.3878092633016232(0.1360400240294159),0.3878092633016232,0.1360400240294159,0.2064716699179781(0.07121762198328817),0.2064716699179781,0.0712176219832881,0.16992063492063492(0.030728637801795626),0.1699206349206349,0.0307286378017956
v2_to_v1_transfer,v2,v1,kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix,kmer_matrix_k4+rc_kmer_matrix_k4+psednc_matrix,rna+rna+rna,ipcarf,both,normalized,1,gt,4114,353,40,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix_ipcarf_v2_to_v1_transfer_performance.csv,0.04088888888888889(0.01460148638015843),0.0408888888888888,0.0146014863801584,0.23308774538963978(0.037481142700058055),0.2330877453896397,0.037481142700058,0.6621095658959942(0.055926254345309706),0.6621095658959942,0.0559262543453097,0.07042659169690346(0.030774117800043944),0.0704265916969034,0.0307741178000439,0.1941355906623103(0.12154754059220158),0.1941355906623103,0.1215475405922015,0.3624800923782248(0.11906298320231624),0.3624800923782248,0.1190629832023162,0.24115141533820114(0.10388984710622004),0.2411514153382011,0.10388984710622,0.25571428571428567(0.11996304125572069),0.2557142857142856,0.1199630412557206
v2_to_v1_transfer,v2,v1,kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix,kmer_matrix_k4+rc_kmer_matrix_k4+psednc_matrix,rna+rna+rna,rf,both,normalized,1,gt,4114,353,40,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix_rf_v2_to_v1_transfer_performance.csv,0.04290079365079365(0.014729212604740836),0.0429007936507936,0.0147292126047408,0.2150504825633767(0.04616947651787984),0.2150504825633767,0.0461694765178798,0.6794628673367645(0.043195877218297894),0.6794628673367645,0.0431958772182978,0.06347207849526537(0.017844347431147888),0.0634720784952653,0.0178443474311478,0.18399024670542458(0.06770440772370065),0.1839902467054245,0.0677044077237006,0.39418258500601455(0.1282219597307157),0.3941825850060145,0.1282219597307157,0.2423498571298568(0.07666611932764587),0.2423498571298568,0.0766661193276458,0.24119047619047618(0.173336113269178),0.2411904761904761,0.173336113269178
v2_to_v1_transfer,v2,v1,kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix,kmer_matrix_k4+rc_kmer_matrix_k4+psednc_matrix,rna+rna+rna,rflda,both,normalized,1,gt,4114,353,40,/data/r0865750/lncrna-disease-prediction/results/transfer_v2_to_v1/kmer_matrix_k4__rc_kmer_matrix_k4__psednc_matrix_rflda_v2_to_v1_transfer_performance.csv,0.04908333333333335(0.007970931299402436),0.0490833333333333,0.0079709312994024,0.2089427078090833(0.04474303675350277),0.2089427078090833,0.0447430367535027,0.6609615185831281(0.05366182806790641),0.6609615185831281,0.0536618280679064,0.0627416953350355(0.021511117351296568),0.0627416953350355,0.0215111173512965,0.1425392012280082(0.05023741087864437),0.1425392012280082,0.0502374108786443,0.3878092633016232(0.1360400240294159),0.3878092633016232,0.1360400240294159,0.2064716699179781(0.07121762198328817),0.2064716699179781,0.0712176219832881,0.16992063492063492(0.030728637801795626),0.1699206349206349,0.0307286378017956
